,0um,50um,150um,200um,250um,300um,350um,400um,450um,500um
2.00E+00,7.88E+24,6.24E+24,4.57E+24,3.38E+24,2.61E+24,2.05E+24,1.55E+24,1.25E+24,1.09E+24,9.23E+23
2.01E+00,8.03E+24,6.19E+24,4.45E+24,3.51E+24,2.66E+24,2.10E+24,1.75E+24,1.40E+24,1.18E+24,1.07E+24
2.02E+00,7.14E+24,5.38E+24,4.24E+24,3.02E+24,2.22E+24,1.76E+24,1.46E+24,1.24E+24,1.04E+24,8.86E+23
2.03E+00,7.23E+24,5.55E+24,4.09E+24,3.11E+24,2.32E+24,1.79E+24,1.49E+24,1.17E+24,9.89E+23,7.94E+23
2.04E+00,6.93E+24,5.40E+24,4.09E+24,2.80E+24,2.02E+24,1.45E+24,1.19E+24,1.02E+24,8.63E+23,6.69E+23
2.05E+00,6.44E+24,4.74E+24,3.58E+24,2.58E+24,1.92E+24,1.46E+24,1.20E+24,9.63E+23,8.16E+23,7.00E+23
2.06E+00,5.93E+24,4.62E+24,3.52E+24,2.64E+24,2.09E+24,1.66E+24,1.33E+24,9.85E+23,7.85E+23,6.71E+23
2.07E+00,5.41E+24,4.35E+24,3.15E+24,2.43E+24,1.87E+24,1.49E+24,1.17E+24,9.57E+23,8.17E+23,6.44E+23
2.08E+00,5.44E+24,4.24E+24,3.02E+24,2.17E+24,1.67E+24,1.36E+24,1.07E+24,8.51E+23,6.50E+23,5.29E+23
2.09E+00,4.82E+24,3.48E+24,2.51E+24,1.85E+24,1.44E+24,1.13E+24,9.22E+23,7.24E+23,5.89E+23,5.35E+23
2.10E+00,4.48E+24,3.66E+24,2.82E+24,2.03E+24,1.60E+24,1.31E+24,9.99E+23,9.01E+23,7.14E+23,6.09E+23
2.11E+00,3.86E+24,2.92E+24,2.11E+24,1.50E+24,1.20E+24,9.16E+23,7.68E+23,6.57E+23,5.67E+23,4.70E+23
2.12E+00,3.73E+24,2.87E+24,2.05E+24,1.67E+24,1.20E+24,8.81E+23,7.02E+23,6.07E+23,5.11E+23,4.23E+23
2.13E+00,3.60E+24,2.54E+24,1.97E+24,1.64E+24,1.24E+24,9.54E+23,7.76E+23,6.88E+23,6.13E+23,5.14E+23
2.14E+00,3.15E+24,2.41E+24,1.73E+24,1.31E+24,9.28E+23,7.04E+23,6.02E+23,4.73E+23,4.16E+23,3.70E+23
2.15E+00,2.92E+24,2.14E+24,1.55E+24,1.14E+24,8.88E+23,7.52E+23,5.95E+23,5.06E+23,3.64E+23,2.75E+23
2.16E+00,2.74E+24,1.84E+24,1.39E+24,1.03E+24,8.68E+23,6.58E+23,5.46E+23,4.05E+23,3.38E+23,2.93E+23
2.17E+00,2.68E+24,1.95E+24,1.31E+24,9.34E+23,6.88E+23,5.02E+23,4.23E+23,3.42E+23,2.76E+23,2.47E+23
2.18E+00,2.15E+24,1.53E+24,1.06E+24,7.94E+23,6.27E+23,4.45E+23,3.58E+23,2.91E+23,2.68E+23,2.47E+23
