angle (deg), positron yield / pC, positron yield error / pC
0, 2.090396755852276e-06, 0.0
20, 3.1251250234472327e-06, 1.290383922866316e-07
40, 3.830751341338829e-06, 9.60708341855364e-07
50, 4.3218008014015916e-06, 8.481035508348695e-08
60, 4.58056522801247e-06, 7.192071738706164e-08
70, 4.110824592874846e-06, 5.234736012139584e-07
90, 4.287610958197049e-06, 6.914021770301235e-08
