f/mm, npos/pC, npos_err
0, 6.317752389347603e-05, 1.2641490772897991e-06
0.2, 6.805019311472922e-05, 3.2871580149172833e-06
0.4, 7.622189840546875e-05, 2.4293935354701617e-06
0.6, 8.439560038176781e-05, 3.5960066993808614e-06
