d (mm),positron yield / pC,positron yield error / pC
0.1,7.247698384840006e-06,9.771751155015513e-08
0.5,3.825654984064902e-06,4.7440085081858574e-07
1.0,3.1688599053342345e-06,2.1881629704052974e-07
1.5,2.251179347014404e-06,1.5039982588689387e-07
2.0,1.6046247055786404e-06,3.4550854599618813e-07
3.0,5.718627210359654e-06,9.545193491836043e-08
