#BLTrackFile gamma_profile_Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-2.91682 7.99375 865 -0.0375502 0.141765 9.84932 2.88556 22 86 1189 1001 1 
21.1608 13.6329 865 0.329853 0.219323 9.29242 2.88719 22 86 1190 1001 1 
70.4458 -26.3491 865 5.35787 -1.96672 45.3847 2.90101 22 86 1193 1191 1 
52.0848 -39.4818 865 2.75812 -2.08818 31.7928 2.89715 22 86 1194 1191 1 
65.6236 -34.2136 865 4.78845 -2.47402 43.5936 2.90049 22 86 1197 1191 1 
68.502 -31.1925 865 0.130161 -0.0585822 1.13459 2.90101 22 86 1198 1191 1 
54.6091 -15.5101 865 1.32784 -0.365047 14.5611 2.89428 22 86 1201 1191 1 
21.9862 1.83442 865 0.140516 0.0165621 3.81119 2.88674 22 86 1259 1191 1 
4.58955 -0.180434 865 0.00869796 0.00108491 1.03007 2.88541 22 86 1260 1191 1 
-0.059631 -2.25167 865 -0.0207963 -0.785268 301.668 2.88534 22 88 1 0 1 
-1.84241 -0.238194 865 -0.649004 -0.0839057 304.703 2.88533 22 90 1 0 1 
1.1604 -0.288072 865 0.400576 -0.0994437 298.602 2.88533 22 92 1 0 1 
7.7807 13.0593 865 1.19859 1.90607 86.3636 2.88604 22 93 1642 1001 1 
2.10165 -0.0387866 865 0.724869 -0.0133777 298.343 2.88534 22 94 1 0 1 
0.606578 -2.50548 865 0.208738 -0.862197 297.667 2.88534 22 95 1 0 1 
-1.68486 -0.642869 865 -0.577749 -0.220444 296.614 2.88533 22 96 1 0 1 
-23.2315 18.4932 865 -0.175698 0.145471 4.74338 2.88779 22 99 1409 1001 1 
-8.56754 6.17188 865 -0.0157841 0.0127123 1.12301 2.88568 22 99 2923 2794 1 
0.502081 -1.5293 865 0.175262 -0.533833 301.946 2.88533 22 101 1 0 1 
-0.828116 -2.95062 865 -0.285898 -1.01867 298.632 2.88535 22 102 1 0 1 
-68.5543 -67.1427 865 -1.78166 -1.76096 20.1672 2.90514 22 105 1273 1268 1 
-3.03234 8.71098 865 -0.134148 0.310992 22.1648 2.88559 22 106 2297 1607 1 
-0.808223 -2.06571 865 -0.281563 -0.719637 301.342 2.88534 22 109 1 0 1 
0.349421 -0.654696 865 0.119493 -0.223889 295.808 2.88533 22 110 1 0 1 
20.4625 -0.154666 865 2.42648 -0.00977037 69.6625 2.88658 22 111 1543 1001 1 
26.3011 -19.6902 865 0.0320165 -0.022999 0.722798 2.88839 22 111 1544 1001 1 
11.2 14.6846 865 0.178006 0.215235 8.88747 2.88636 22 111 2208 1545 1 
1.28494 -1.23826 865 0.440565 -0.424559 296.581 2.88533 22 115 1 0 1 
1.12374 -1.1048 865 0.392255 -0.385643 301.938 2.88533 22 116 1 0 1 
1.30257 -0.0265332 865 0.45077 -0.00918214 299.343 2.88533 22 117 1 0 1 
0.0196498 -2.5202 865 0.00681954 -0.874644 300.201 2.88534 22 121 1 0 1 
1.91441 -1.31908 865 0.668513 -0.460623 302.059 2.88534 22 122 1 0 1 
-3.0671 -0.0122361 865 -1.07329 -0.00428185 302.695 2.88535 22 123 1 0 1 
-7.80382 23.3101 865 -0.0140279 0.0402296 1.02712 2.88711 22 124 1569 1478 1 
-21.8335 5.72301 865 -0.790866 0.230815 21.7589 2.88681 22 124 1613 1612 1 
0.708877 -0.6686 865 0.245526 -0.231576 299.601 2.88533 22 125 1 0 1 
-0.0832613 -0.612727 865 -0.0287232 -0.211377 298.405 2.88533 22 126 1 0 1 
9.97925 7.84071 865 0.328231 0.27956 20.4371 2.88582 22 130 1392 1001 1 
10.9236 -60.8502 865 0.00960757 -0.0773075 0.709134 2.8993 22 130 1563 1562 1 
0.238068 -1.81939 865 0.0826339 -0.631515 300.244 2.88533 22 132 1 0 1 
-2.94415 -0.258842 865 -1.01177 -0.0889523 297.262 2.88534 22 134 1 0 1 
-1.85771 2.40085 865 -0.0508573 0.149621 34.7091 2.88535 22 137 1002 1001 1 
-1.09145 -1.95117 865 -0.374438 -0.669379 296.752 2.88534 22 138 1 0 1 
-0.683763 -0.324436 865 -0.235055 -0.11153 297.358 2.88533 22 139 1 0 1 
-1.554 -0.279183 865 -0.540753 -0.0971488 300.999 2.88533 22 141 1 0 1 
-0.250312 -1.97243 865 -0.0868286 -0.684198 300.052 2.88534 22 143 1 0 1 
0.866732 -2.21041 865 0.297847 -0.759594 297.252 2.88534 22 144 1 0 1 
-0.744968 -0.0141813 865 -0.259772 -0.00494505 301.627 2.88533 22 146 1 0 1 
0.490499 -1.08491 865 0.171267 -0.378817 302.031 2.88533 22 150 1 0 1 
-1.55282 -0.523993 865 -0.535994 -0.180869 298.575 2.88533 22 151 1 0 1 
0.085148 -1.63066 865 0.0297212 -0.569186 301.931 2.88533 22 156 1 0 1 
-0.330915 -1.25816 865 -0.113973 -0.433334 297.922 2.88533 22 157 1 0 1 
-48.0644 -16.3845 865 -0.519235 -0.103499 8.32665 2.89178 22 161 1002 1001 1 
1.9032 -48.1107 865 0.0390793 -0.200045 3.3334 2.89129 22 161 1076 1001 1 
-3.92116 -60.7659 865 0.00482269 -0.118296 1.50455 2.89406 22 161 1184 1001 1 
-36.9304 -23.1055 865 -0.302401 -0.156098 6.68463 2.88998 22 161 1185 1001 1 
-38.51 -51.8205 865 -0.484603 -0.666635 10.195 2.89447 22 161 1238 1001 1 
-1.20475 -0.440918 865 -0.421475 -0.154253 302.616 2.88533 22 162 1 0 1 
14.6693 27.6101 865 0.0352223 0.110824 2.22599 2.89066 22 163 1472 1312 1 
8.20094 25.5556 865 0.928649 2.88592 67.2318 2.88743 22 166 1252 1001 1 
-36.0156 -19.6021 865 -0.0885606 -0.0461439 1.53428 2.8897 22 166 2374 1286 1 
-36.8739 -56.4278 865 -0.036484 -0.056331 0.598644 2.89784 22 168 1217 1001 1 
3.80075 -30.7288 865 0.0225104 -0.143615 2.80377 2.88801 22 168 1239 1001 1 
12.852 -5.46692 865 0.00633805 -0.00244182 0.273644 2.88595 22 168 1270 1269 1 
1.37221 -1.99328 865 0.473958 -0.688471 298.767 2.88534 22 169 1 0 1 
-2.09908 -0.438751 865 -0.735499 -0.153735 303.089 2.88534 22 170 1 0 1 
-1.56723 -0.337695 865 -0.543709 -0.117154 300.088 2.88533 22 171 1 0 1 
0.665746 -1.01592 865 0.230679 -0.352014 299.72 2.88533 22 172 1 0 1 
0.723568 -0.779339 865 0.248247 -0.267382 296.77 2.88533 22 174 1 0 1 
-0.64975 -1.18452 865 -0.224625 -0.409501 299.039 2.88533 22 176 1 0 1 
-0.984797 -1.24036 865 -0.346375 -0.436263 304.239 2.88533 22 178 1 0 1 
-63.9685 -26.203 865 -0.658436 -0.281653 8.25975 2.89683 22 180 1004 1001 1 
-1.50413 -1.2479 865 -0.520218 -0.431599 299.169 2.88534 22 181 1 0 1 
-0.599189 -0.718518 865 -0.209945 -0.251755 303.08 2.88533 22 183 1 0 1 
-28.336 -11.2867 865 -0.00819593 -0.00300156 0.166069 2.88805 22 185 1002 1001 1 
-16.1985 -0.237307 865 -0.756916 0.0174811 26.3064 2.88615 22 185 1004 1003 1 
-74.647 -54.7437 865 -1.27625 -0.945667 13.2931 2.9037 22 186 1167 1140 1 
0.643875 -2.45995 865 0.223649 -0.854463 300.457 2.88534 22 187 1 0 1 
-0.641405 -1.64617 865 -0.220923 -0.567002 297.938 2.88533 22 188 1 0 1 
-0.903719 -1.89403 865 -0.31236 -0.654648 298.977 2.88534 22 189 1 0 1 
-67.3783 -68.2236 865 -0.482815 -0.4916 5.57612 2.90503 22 192 1006 1001 1 
-15.5553 -71.1608 865 -0.0646048 -0.205689 2.22218 2.89763 22 194 1103 1001 1 
69.9462 -71.3398 865 0.533 -0.546091 5.92634 2.90666 22 194 1104 1001 1 
-26.3023 27.6215 865 -0.00876447 0.00956549 0.197574 2.88958 22 197 1002 1001 1 
12.5311 -64.384 865 0.0577288 -0.292554 2.72719 2.89711 22 197 1004 1003 1 
-15.4824 -67.2624 865 -0.0141624 -0.0597115 0.53243 2.8984 22 197 1005 1003 1 
-14.0061 -68.1491 865 -0.0883375 -0.416951 3.66837 2.89861 22 197 1006 1003 1 
54.89 -71.7124 865 0.0644635 -0.0826611 0.690745 2.90788 22 197 1008 1003 1 
47.2656 -70.7445 865 2.02894 -2.97959 25.2478 2.90531 22 197 1009 1003 1 
3.3094 -43.4927 865 0.0169734 -0.212409 2.95386 2.89045 22 197 1108 1003 1 
5.16553 -8.2726 865 0.0233843 -0.0324492 2.63055 2.88556 22 197 1229 1128 1 
-0.994406 -2.22203 865 -0.343466 -0.767485 298.769 2.88534 22 198 1 0 1 
2.1835 -0.706347 865 0.759594 -0.245724 300.916 2.88534 22 201 1 0 1 
-2.15437 -1.50187 865 -0.743375 -0.518228 298.472 2.88534 22 203 1 0 1 
-63.3731 -15.7629 865 -0.449797 -0.1027 4.3076 2.89717 22 206 1702 1633 1 
5.35114 -1.35931 865 0.00226311 -0.000437575 0.240242 2.88544 22 207 2070 1046 1 
8.9448 0.311731 865 0.0113004 0.000501595 0.766388 2.88558 22 207 2071 1046 1 
12.1734 -0.36293 865 0.0269408 -0.000476717 1.37958 2.88577 22 207 2072 1046 1 
-10.5882 16.0653 865 -3.1661 4.93911 174.544 2.88647 22 208 1069 1068 1 
-0.630679 -0.866207 865 -0.219271 -0.301158 300.739 2.88533 22 209 1 0 1 
0.381596 -1.88619 865 0.132404 -0.654458 300.132 2.88533 22 210 1 0 1 
-2.89832 -0.511528 865 -1.00823 -0.177944 300.905 2.88534 22 212 1 0 1 
0.807436 -2.26113 865 0.278359 -0.779513 298.204 2.88534 22 214 1 0 1 
60.6359 -2.98893 865 0.207859 -0.0114088 2.0503 2.89598 22 220 1779 1752 1 
9.66611 -54.4525 865 0.0305019 -0.272854 4.03965 2.89231 22 223 1301 1299 1 
-8.83866 -46.281 865 -0.212349 -0.602491 10.8178 2.89099 22 223 1305 1303 1 
27.2424 -66.1794 865 0.0722496 -0.177918 2.08207 2.89639 22 223 1667 1227 1 
0.0663934 -1.34401 865 0.0231007 -0.467632 300.965 2.88533 22 225 1 0 1 
-0.919891 -0.315802 865 -0.319901 -0.109823 300.812 2.88533 22 228 1 0 1 
-1.68254 -1.82061 865 -0.581581 -0.629304 298.992 2.88534 22 230 1 0 1 
-1.92078 -0.795647 865 -0.663656 -0.274907 298.869 2.88534 22 231 1 0 1 
-21.8381 -72.8366 865 -0.0925136 -0.359242 3.80876 2.89798 22 232 1284 1235 1 
-63.7755 -68.6573 865 -0.0164544 -0.0177737 0.199889 2.90418 22 232 1285 1235 1 
-33.5036 -53.3721 865 -0.213536 -0.342308 4.95108 2.89387 22 232 1286 1235 1 
-60.5844 -9.22129 865 -0.127723 -0.0328851 1.76045 2.89716 22 233 1258 1217 1 
0.800973 -2.32097 865 0.279161 -0.808922 301.476 2.88534 22 234 1 0 1 
-7.43093 -74.9395 865 -0.0382834 -0.391741 4.05012 2.89753 22 237 2373 1027 1 
-2.40963 -0.777094 865 -0.836263 -0.269691 300.199 2.88534 22 238 1 0 1 
-1.5575 -2.29528 865 -0.547218 -0.80643 303.912 2.88534 22 241 1 0 1 
0.0370705 -0.626992 865 0.0127793 -0.216143 298.191 2.88533 22 242 1 0 1 
0.0748815 -1.36704 865 0.026222 -0.478708 302.905 2.88533 22 243 1 0 1 
-1.46829 -1.15205 865 -0.510257 -0.400358 300.603 2.88533 22 246 1 0 1 
-0.0949812 -1.42243 865 -0.032827 -0.491614 298.957 2.88533 22 247 1 0 1 
-41.286 45.9004 865 -0.080512 0.0924548 1.16415 2.89659 22 248 1613 1558 1 
41.7449 -24.7219 865 0.261385 -0.147591 3.72566 2.89182 22 248 2204 1001 1 
1.50386 -2.22065 865 0.525218 -0.775553 302.098 2.88534 22 249 1 0 1 
-73.8362 -71.2679 865 -0.0937774 -0.09187 0.982051 2.90804 22 254 1859 1857 1 
-2.088 -0.410062 865 -0.721119 -0.14162 298.74 2.88534 22 261 1 0 1 
0.468793 -0.198921 865 0.163372 -0.0693231 301.449 2.88533 22 262 1 0 1 
12.0074 61.5617 865 0.013852 0.0691302 0.660136 2.89674 22 263 1135 1001 1 
-23.5102 40.3415 865 -0.0257547 0.0456997 0.65927 2.89163 22 263 1269 1268 1 
-37.1625 25.8035 865 -0.0153282 0.0111048 0.247239 2.89116 22 263 1292 1268 1 
-2.5474 20.2197 865 -0.00470804 0.0412686 1.16104 2.88661 22 263 1322 1268 1 
-9.93588 24.7405 865 -0.00784909 0.0206087 0.478055 2.88745 22 263 1323 1268 1 
