#BLTrackFile Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-0.0832613 -0.612727 865 -0.0287232 -0.211377 298.405 2.88533 22 126 1 0 1 
3.96578 -2.86184 865 1.37888 -0.995044 300.755 2.88537 22 127 1 0 1 
-1.51034 -3.90715 865 -0.525224 -1.35872 300.805 2.88536 22 130 1 0 1 
0.238068 -1.81939 865 0.0826339 -0.631515 300.244 2.88533 22 132 1 0 1 
-5.23469 -2.6502 865 -1.83171 -0.927352 302.679 2.88539 22 133 1 0 1 
-2.94415 -0.258842 865 -1.01177 -0.0889523 297.262 2.88534 22 134 1 0 1 
-3.09765 -0.38188 865 -1.0769 -0.132761 300.717 2.88535 22 137 1 0 1 
-1.09145 -1.95117 865 -0.374438 -0.669379 296.752 2.88534 22 138 1 0 1 
-0.683763 -0.324436 865 -0.235055 -0.11153 297.358 2.88533 22 139 1 0 1 
-1.554 -0.279183 865 -0.540753 -0.0971488 300.999 2.88533 22 141 1 0 1 
-0.250312 -1.97243 865 -0.0868286 -0.684198 300.052 2.88534 22 143 1 0 1 
0.866732 -2.21041 865 0.297847 -0.759594 297.252 2.88534 22 144 1 0 1 
-0.744968 -0.0141813 865 -0.259772 -0.00494505 301.627 2.88533 22 146 1 0 1 
1.23915 -4.3496 865 0.00737842 -0.0203314 3.55158 2.88538 22 147 2528 1250 1 
0.490499 -1.08491 865 0.171267 -0.378817 302.031 2.88533 22 150 1 0 1 
-1.55282 -0.523993 865 -0.535994 -0.180869 298.575 2.88533 22 151 1 0 1 
0.085148 -1.63066 865 0.0297212 -0.569186 301.931 2.88533 22 156 1 0 1 
-0.330915 -1.25816 865 -0.113973 -0.433334 297.922 2.88533 22 157 1 0 1 
-43.894 -56.3127 865 -0.0942605 -0.119005 1.23282 2.90163 22 158 1371 1370 1 
-1.20475 -0.440918 865 -0.421475 -0.154253 302.616 2.88533 22 162 1 0 1 
4.48647 -1.6641 865 1.55252 -0.575854 299.329 2.88537 22 163 1 0 1 
4.32348 -4.38434 865 0.0904211 -0.0977816 17.1799 2.88541 22 165 2377 1001 1 
-1.26438 -3.37829 865 -0.443374 -1.18465 303.324 2.88535 22 166 1 0 1 
-3.22637 -0.425678 865 -1.11819 -0.147531 299.791 2.88535 22 168 1 0 1 
1.37221 -1.99328 865 0.473958 -0.688471 298.767 2.88534 22 169 1 0 1 
-2.09908 -0.438751 865 -0.735499 -0.153735 303.089 2.88534 22 170 1 0 1 
-1.56723 -0.337695 865 -0.543709 -0.117154 300.088 2.88533 22 171 1 0 1 
0.665746 -1.01592 865 0.230679 -0.352014 299.72 2.88533 22 172 1 0 1 
0.723568 -0.779339 865 0.248247 -0.267382 296.77 2.88533 22 174 1 0 1 
-3.8634 -2.61975 865 -1.34394 -0.911321 300.903 2.88537 22 175 1 0 1 
-0.64975 -1.18452 865 -0.224625 -0.409501 299.039 2.88533 22 176 1 0 1 
2.87262 -9.50229 865 0.0281011 -0.0924057 7.31554 2.88555 22 177 2701 1628 1 
-0.984797 -1.24036 865 -0.346375 -0.436263 304.239 2.88533 22 178 1 0 1 
-1.50413 -1.2479 865 -0.520218 -0.431599 299.169 2.88534 22 181 1 0 1 
-0.599189 -0.718518 865 -0.209945 -0.251755 303.08 2.88533 22 183 1 0 1 
2.45647 -1.97408 865 0.841315 -0.676102 296.253 2.88535 22 185 1 0 1 
0.643875 -2.45995 865 0.223649 -0.854463 300.457 2.88534 22 187 1 0 1 
-0.641405 -1.64617 865 -0.220923 -0.567002 297.938 2.88533 22 188 1 0 1 
-0.903719 -1.89403 865 -0.31236 -0.654648 298.977 2.88534 22 189 1 0 1 
4.08753 -7.4197 865 0.00287356 -0.00512001 0.531064 2.8855 22 195 2363 2301 1 
-0.227408 -3.16615 865 -0.0794516 -1.10619 302.213 2.88535 22 197 1 0 1 
-0.994406 -2.22203 865 -0.343466 -0.767485 298.769 2.88534 22 198 1 0 1 
2.1835 -0.706347 865 0.759594 -0.245724 300.916 2.88534 22 201 1 0 1 
-2.15437 -1.50187 865 -0.743375 -0.518228 298.472 2.88534 22 203 1 0 1 
-4.51476 -0.779803 865 -1.58148 -0.273158 303.002 2.88537 22 204 1 0 1 
3.93949 -1.06322 865 1.36198 -0.367582 299.052 2.88536 22 206 1 0 1 
-4.6192 -0.605468 865 -1.6172 -0.211977 302.84 2.88537 22 207 1 0 1 
1.07377 -3.15333 865 0.371803 -1.09187 299.514 2.88535 22 208 1 0 1 
-0.630679 -0.866207 865 -0.219271 -0.301158 300.739 2.88533 22 209 1 0 1 
0.381596 -1.88619 865 0.132404 -0.654458 300.132 2.88533 22 210 1 0 1 
-2.89832 -0.511528 865 -1.00823 -0.177944 300.905 2.88534 22 212 1 0 1 
0.807436 -2.26113 865 0.278359 -0.779513 298.204 2.88534 22 214 1 0 1 
3.33024 -5.33057 865 1.36677 -1.96256 286.083 2.88543 -11 216 1001 1 1 
-3.5559 -1.32281 865 -1.23134 -0.458062 299.533 2.88536 22 220 1 0 1 
0.0663934 -1.34401 865 0.0231007 -0.467632 300.965 2.88533 22 225 1 0 1 
-0.919891 -0.315802 865 -0.319901 -0.109823 300.812 2.88533 22 228 1 0 1 
-1.68254 -1.82061 865 -0.581581 -0.629304 298.992 2.88534 22 230 1 0 1 
-1.92078 -0.795647 865 -0.663656 -0.274907 298.869 2.88534 22 231 1 0 1 
-0.808341 3.70137 865 -0.00485868 0.0277278 5.8845 2.88536 22 232 1632 1001 1 
0.800973 -2.32097 865 0.279161 -0.808922 301.476 2.88534 22 234 1 0 1 
-3.64729 -1.89649 865 -1.26229 -0.656358 299.369 2.88536 22 236 1 0 1 
-2.40963 -0.777094 865 -0.836263 -0.269691 300.199 2.88534 22 238 1 0 1 
-1.5575 -2.29528 865 -0.547218 -0.80643 303.912 2.88534 22 241 1 0 1 
