l/mm, npos/pC, npos_err
0.8, 1.9101745477965198e-06, 5.334152656155215e-07
1.5, 2.320645222051152e-06, 1.8238863496767606e-07
3.0, 2.4441351952750353e-06, 1.633506393439752e-07
5.0, 2.6810220524558416e-06, 1.81521836582363e-07
10.0, 2.5285730504909916e-06, 1.7111480463967998e-07
