l/mm, npos/pC, npos_err
0.8, 5.96155928947778e-05, 6.020574465087506e-07
1.0, 6.183404321138742e-05, 6.53773818259736e-07
1.2, 6.171740028898205e-05, 2.780796433595205e-07
1.5, 6.14640506293384e-05, 1.4578955179877639e-06
2.0, 5.964641215990248e-05, 1.042116354078622e-06
3.0, 5.9855420456403345e-05, 4.2117858793517925e-07
4.0, 6.137183430636742e-05, 1.1399795112847216e-06
6.0, 6.137183430636742e-05, 1.1399795112847216e-06
10.0, 5.9462089366976765e-05, 1.628235286425663e-06
