FWHM/ps, npos/pC, npos_err
20, 3.810908015196684e-05, 2.9450915972893845e-06
40, 2.244548494190115e-05, 2.244548494190115e-05
60, 1.7317851622577702e-05, 2.910784441547573e-06
80, 1.0219539214416722e-05, 9.168380560843808e-08
100, 8.9543336363255e-06, 1.9952550232115247e-06
